Test Name Categorized,Priority
agg.avg,Required
agg.count,Required
agg.countd,Required
agg.max,Required
agg.min,Required
agg.stddev,Required
agg.sum,Required
agg.var,Required
BUGS.B340,Required
BUGS.B1713,Required
BUGS.B8888,Recommended
BUGS.B14080,Required
BUGS.B24394,Required
BUGS.B26728,Required
BUGS.B27875-asc-nulls-first,Recommended
BUGS.B27875-desc-nulls-last,Recommended
BUGS.B59740,Required
BUGS.B530764,Required
BUGS.B641638,Recommended
BUGS.TFS660780,Required
calcs_data,Required
calcs.union,Required If Supported
cast.float,Required
cast.float.string,Required
cast.int,Required
cast.int.nulls,Required
cast.str,Required
cast.str.date,Required
cast.str.str,Required
date.B639952,Required
date.cast.date,Required
date.cast.datetime,Required
date.cast.datetime.630831,Smoke
date.cast.float,Recommended
date.cast.float.extended,Recommended
date.cast.int.extended,Recommended
date.cast.num_to_date,Recommended
date.cast.str,Required
date.dateadd.day,Required
date.dateadd.dayofyear,Required
date.dateadd.hour,Required
date.dateadd.iso-week,Recommended
date.dateadd.iso-weekday,Recommended
date.dateadd.minute,Required
date.dateadd.month,Required
date.dateadd.nulls,Required If Supported
date.dateadd.quarter,Required
date.dateadd.second,Required
date.dateadd.week,Required
date.dateadd.weekday,Required
date.dateadd.year,Required
date.datediff.day,Required
date.datediff.dayofyear,Required
date.datediff.hour,Required
date.datediff.iso-week,Recommended
date.datediff.iso-weekday,Recommended
date.datediff.minute,Required
date.datediff.month,Required
date.datediff.nulls,Required If Supported
date.datediff.quarter,Required
date.datediff.second,Required
date.datediff.sow.day,Required
date.datediff.sow.dayofyear,Required
date.datediff.sow.hour,Required
date.datediff.sow.minute,Required
date.datediff.sow.month,Required
date.datediff.sow.nulls,Recommended
date.datediff.sow.quarter,Required
date.datediff.sow.second,Required
date.datediff.sow.week,Required
date.datediff.sow.weekday,Required
date.datediff.sow.year,Required
date.datediff.week,Required
date.datediff.week.extended,Required
date.datediff.weekday,Required
date.datediff.year,Required
date.datename.day,Required
date.datename.dayofyear,Required
date.datename.hour,Required
date.datename.iso-quarter,Recommended
date.datename.iso-week,Recommended
date.datename.iso-weekday,Recommended
date.datename.iso-year,Recommended
date.datename.minute,Required
date.datename.month,Required
date.datename.nulls,Required If Supported
date.datename.quarter,Required
date.datename.second,Required
date.datename.sow.day,Required
date.datename.sow.dayofyear,Required
date.datename.sow.hour,Required
date.datename.sow.minute,Required
date.datename.sow.month,Required
date.datename.sow.nulls,Recommended
date.datename.sow.quarter,Required
date.datename.sow.second,Required
date.datename.sow.week,Required
date.datename.sow.weekday,Required
date.datename.sow.year,Required
date.datename.week,Required
date.datename.weekday,Required
date.datename.year,Required
date.dateparse.hour,Recommended
date.dateparse.month,Recommended
date.dateparse.weekday,Recommended
date.dateparse.year,Recommended
date.datepart.dateadd.defect603107,Required
date.datepart.day,Required
date.datepart.dayofyear,Required
date.datepart.hour,Required
date.datepart.iso-quarter,Recommended
date.datepart.iso-week,Recommended
date.datepart.iso-weekday,Recommended
date.datepart.iso-year,Recommended
date.datepart.minute,Required
date.datepart.month,Required
date.datepart.nulls,Required If Supported
date.datepart.quarter,Required
date.datepart.second,Required
date.datepart.second.ms,Required
date.datepart.sow.day,Required
date.datepart.sow.dayofyear,Required
date.datepart.sow.hour,Required
date.datepart.sow.minute,Required
date.datepart.sow.month,Required
date.datepart.sow.nulls,Recommended
date.datepart.sow.quarter,Required
date.datepart.sow.second,Required
date.datepart.sow.week,Required
date.datepart.sow.weekday,Required
date.datepart.sow.year,Required
date.datepart.week,Required
date.datepart.weekday,Required
date.datepart.year,Required
date.datetrunc.day,Required
date.datetrunc.dayofyear,Required
date.datetrunc.hour,Required
date.datetrunc.iso-quarter,Recommended
date.datetrunc.iso-week,Recommended
date.datetrunc.iso-weekday,Recommended
date.datetrunc.iso-year,Recommended
date.datetrunc.minute,Required
date.datetrunc.month,Required
date.datetrunc.nulls,Required If Supported
date.datetrunc.quarter,Required
date.datetrunc.second,Required
date.datetrunc.sow.day,Required
date.datetrunc.sow.dayofyear,Required
date.datetrunc.sow.hour,Required
date.datetrunc.sow.minute,Required
date.datetrunc.sow.month,Required
date.datetrunc.sow.nulls,Recommended
date.datetrunc.sow.quarter,Required
date.datetrunc.sow.second,Required
date.datetrunc.sow.week,Required
date.datetrunc.sow.weekday,Required
date.datetrunc.sow.year,Required
date.datetrunc.week,Required
date.datetrunc.weekday,Required
date.datetrunc.year,Required
date.math,Recommended
date.math.date_minus_date,Recommended
date.max,Required
date.min,Required
date.misc,Required
date.now,Recommended
date.today,Required
datetime.cast.date,Required
datetime.cast.float,Required
datetime.cast.str,Required
Filter.Add_to_context,Required
Filter.Date_In,Required
Filter.datetime_fractional,Recommended
Filter.Exclude-list-not-null,Required
Filter.Exclude-range-not-null,Required
Filter.FilterBy-to-no-results,Required
Filter.Q_date_instance_filter,Required
Filter.Q_date_month_instance_filter,Required
Filter.QFilter-max-NotNull,Required
Filter.QFilter-max-Null,Required
Filter.QFilter-min-NotNull,Required
Filter.QFilter-min-Null,Required
Filter.QFilter-minmax-NotNull,Required
Filter.QFilter-minmax-Null,Required
Filter.QFilter-NotNull,Required
Filter.QFilter-Null,Required
Filter.slicing_Q_date_instance_filter,Required
Filter.slicing_Q_date_month_instance_filter,Required
Filter.TopN-context,Required
Filter.Trademark,Smoke
join.null.bool,Required If Supported
join.null.date,Required If Supported
join.null.datetime,Required If Supported
join.null.int,Required If Supported
join.null.real,Required If Supported
join.null.str,Required If Supported
lod.1_Difference From with Cross Join,Required If Supported
lod.2_Cross Join,Required If Supported
lod.3_Disjoint LOD,Required If Supported
lod.4_Subset Fixed,Required If Supported
lod.5_Subset Fixed - 2,Required If Supported
lod.6_Include - 1,Required If Supported
lod.7_Percent of Total 1,Required If Supported
lod.8_Precent of Total 2,Required If Supported
lod.9_Fixed as Dimension,Required If Supported
lod.10_As in-out Set,Required If Supported
lod.11_As in-out Set,Required If Supported
lod.12_As in-out Set,Required If Supported
lod.13_As in-out Set,Required If Supported
lod.14_As in-out Set,Required If Supported
lod.15_As Bin,Required If Supported
lod.16_As Group,Required If Supported
lod.17_Nesting,Required If Supported
lod.calc.1.TopN,Required If Supported
lod.calc.2.Two-level Agg,Required If Supported
lod.calc.3.LOD Metadata,Required If Supported
lod.calc.4.Lookup,Required If Supported
lod.calc.5.LOD Set,Required If Supported
lod.calc.6. LOD Dimension,Required If Supported
lod.calc.7. LOD Bins,Required If Supported
lod.calc.8. Include,Required If Supported
lod.calc.9.Fixed,Required If Supported
lod.calc.11.Exclude,Required If Supported
lod.calcs,Required If Supported
logical,Required
logical.bool,Required
logical.case.null,Required
logical.case.str,Required
logical.ifnull,Required
math.abs,Required
math.acos,Recommended
math.asin,Recommended
math.atan,Recommended
math.ceilfloor,Required
math.cos,Required
math.cot,Required
math.degree,Required
math.div,Required
math.exp,Required
math.hexbin,Recommended
math.ln,Required
math.log,Required
math.max,Required
math.min,Required
math.pi,Required
math.power,Required
math.power.real,Recommended
math.radians,Required
math.round,Required
math.round.B584401,Recommended
math.sign,Required
math.sin,Required
math.sqrt,Required
math.square,Required
math.tan,Required
math.zn,Required
operator.bool,Required
operator.date,Required
operator.int,Required
operator.num,Required
operator.str,Required
Query.Dates_MDY,Required
Query.Dates_MDY_Filtered,Required
Query.Filter_AVG,Required
Query.Filter_CNT,Required
Query.Filter_Exclude1,Required
Query.Filter_Include1,Required
Query.Filter_MAX,Required
Query.Filter_MIN,Required
Query.Filter_SliceAggQ,Required
Query.Filter_SliceAggQ_AxisQ,Required
Query.Filter_SliceAggQUnaggQ_AxisQ,Required
Query.Filter_SliceAggQUnaggQ_AxisQO,Required
Query.Filter_SliceAggQUnaggQ_AxisQOYear,Required
Query.Filter_SliceAggQUnaggQUnaggDT_AxisQOYear,Required
Query.Filter_SUM,Required
Query.Filter.IsNOTNULL,Required
Query.Filter.IsNULL,Required
Query.Filter.NullAndOne,Required
Query.FilterBy_DateTime_Slices,Required
Query.FilterBy_Q,Required
Query.HideEmptyRows,Required
Query.MultipleFilters,Required
Query.Nest_FilterO1_SliceOQ,Required
Query.Nest_FilterO1O2_SliceOQ_SortByO1,Required
Query.Nest_FilterO1O2_SliceOQ_SortByO1O2,Required
Query.Nest_SliceQ,Required
Query.Nest_SliceQO,Required
Query.Sort_Alphabetic_DESC_Top1,Required
Query.Sort_Alphabetic_DESC_Top10,Required
Query.Sort_Natural_DESC,Required
Query.Top99_ByField,Required
Query.Unaggregated_Filter,Required
Query.Unaggregated_Filter_NoDateTime,Required
string.ascii,Recommended
string.B21622,Required
string.bind_trim,Recommended
string.char,Smoke
string.constants,Required
string.contains,Required
string.endswith,Required
string.find,Required
string.left,Required
string.left.negative,Required If Supported
string.left.real,Recommended
string.len,Required
string.lower,Required
string.ltrim,Required
string.max,Required
string.mid,Required
string.mid.calc,Required
string.min,Required
string.replace,Required If Supported
string.right,Required
string.right.real,Required
string.rtrim,Required
string.space,Required
string.space.int.constant,Required
string.space.int.var,Required
string.split,Required
string.split.right,Required If Supported
string.startswith,Required
string.trim,Required If Supported
string.upper,Required
string.utf8,Recommended
ZTesting.Staples9,Recommended
